446055|319189|23300.0
446388|318887|16220.0
447083|320096|12345.0
447234|320549|15677.0
447023|318917|19020.0
444151|314715|24565.0
444665|314353|54300.0
444332|314020|34000.0
444212|313748|11000.0
446992|311088|13440.0
447869|310181|18960.0
448111|310453|19900.0
448262|310121|15670.0
451980|314081|24560.0
451980|314474|31200.0
454186|316166|15789.0
454640|316287|18976.0
455123|316529|24000.0
455788|316106|19456.0
450408|317526|12234.0
451164|317980|8700.0
450861|318403|5670.0
451617|318010|12980.0
451859|318433|12345.0
452615|317829|27890.0
452977|317919|22120.0
453008|318494|24560.0
453340|318584|11005.0
452463|319552|14600.0
452222|319431|32000.0
450741|319975|14500.0
450045|320096|21000.0
450831|320428|14560.0
450529|320882|19700.0
452161|321033|27000.0
451466|315985|45000.0
450741|313839|14000.0
454458|314474|19700.0
452796|310937|21450.0
445360|320579|34700.0
447567|321788|17500.0
